Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
lugar oportuno	2	7.46	lugar oportuno	Nom Adjectif
condición inicial	2	7.46	condición inicial	Nom Adjectif
clase capitalista	2	7.46	clase capitalista	Nom Adjectif
tarea primario	2	7.46	tarea primaria	Nom Adjectif
citaban	2	7.46	citaban	Verbe
proceso único	2	7.46	proceso único	Nom Adjectif
doing	2	7.46	doing	Nom
ejemplo sobresaliente	2	7.46	ejemplo sobresaliente	Nom Adjectif
fábrica textil	2	7.46	fábrica textil	Nom Adjectif
antro	2	7.46	antro	Nom
escolástico	2	7.46	escolástica	Adjectif
apropia	2	7.46	apropia	Verbe
número indeterminado	2	7.46	número indeterminado	Nom Adjectif
fe cristiano	2	7.46	fe cristiana	Nom Adjectif
campo de conocimiento	2	7.46	campos de conocimiento	Nom Préposition Nom
seminal	2	7.46	seminal	Adjectif
aumento proporcional	2	7.46	aumento proporcional	Nom Adjectif
consolarnos	2	7.46	consolarnos	Verbe
provocarla	2	7.46	provocarla	Verbe
estimación razonable	2	7.46	estimación razonable	Nom Adjectif
estado del conocimiento	2	7.46	estado del conocimiento	Nom Préposition Nom
imaginaban	2	7.46	imaginaban	Verbe
error básico	2	7.46	errores básicos	Nom Adjectif
interés de clase	2	7.46	interés de clase	Nom Préposition Nom
soñadores	2	7.46	soñadores	Nom
capitalizan	2	7.46	capitalizan	Verbe
equipamientos social	2	7.46	equipamientos sociales	Nom Adjectif
cantidad de población	2	7.46	cantidad de población	Nom Préposition Nom
esquema de conducta	2	7.46	esquemas de conducta	Nom Préposition Nom
mástiles	2	7.46	mástiles	Nom
perfeccionamiento posterior	2	7.46	perfeccionamientos posteriores	Nom Adjectif
journal	2	7.46	journal	Verbe
sostuviera	2	7.46	sostuviera	Verbe
secó	2	7.46	secó	Verbe
diferían	2	7.46	diferían	Verbe
fenómeno masivo	2	7.46	fenómenos masivos	Nom Adjectif
versatilidad	2	7.46	versatilidad	Nom
ingreso futuro	2	7.46	ingresos futuros	Nom Adjectif
plan grandioso	2	7.46	plan grandioso	Nom Adjectif
oportunista	2	7.46	oportunista	Nom
argumentación en favor	2	7.46	argumentación en favor	Nom Préposition Nom
actitud contradictorio	2	7.46	actitud contradictoria	Nom Adjectif
principle	2	7.46	principle	Nom
biometría	2	7.46	biometría	Nom
reclamarlo	2	7.46	reclamarlo	Verbe
existencia de estado	2	7.46	existencia de estado	Nom Préposition Nom
gasto previo	2	7.46	gastos previos	Nom Adjectif
participación relativo	2	7.46	participaciones relativas	Nom Adjectif
fracción del tiempo	2	7.46	fracción del tiempo	Nom Préposition Nom
período de prosperidad	2	7.46	período de prosperidad	Nom Préposition Nom
tasa nacional	2	7.46	tasa nacional	Nom Adjectif
ahorró	2	7.46	ahorró	Verbe
especifiquemos	2	7.46	especifiquemos	Verbe
día en lugar	2	7.46	día en lugar	Nom Préposition Nom
mangueras	2	7.46	mangueras	Nom
sumiría	2	7.46	sumiría	Verbe
línea vertical	2	7.46	línea vertical	Nom Adjectif
línea horizontal	2	7.46	línea horizontal	Nom Adjectif
tarea constructivo	2	7.46	tarea constructiva	Nom Adjectif
partido socialdemócrata	2	7.46	partido socialdemócrata	Nom Nom
vez llegada	2	7.46	vez llegada	Nom Nom
economía en conjunto	2	7.46	economía en conjunto	Nom Préposition Nom
empleo malo	2	7.46	empleos peor	Nom Adjectif
problema político y económico	2	7.46	problemas políticos y económicos	Nom Adjectif Coord_Conjunction Adjectif
clasificamos	2	7.46	clasificamos	Verbe
similaridad	2	7.46	similaridad	Nom
reinterpretar	2	7.46	reinterpretar	Verbe
organismo distinto	2	7.46	organismo distinto	Nom Adjectif
atribuyera	2	7.46	atribuyera	Verbe
confundiría	2	7.46	confundiría	Verbe
crítica serio	2	7.46	críticas serias	Nom Adjectif
ingreso bruto	2	7.46	ingreso bruto	Nom Adjectif
primo grande	2	7.46	primo mayor	Nom Adjectif
rendimiento personal	2	7.46	rendimientos personales	Nom Adjectif
tipo de beneficio	2	7.46	tipo de beneficio	Nom Préposition Nom
orden estadístico	2	7.46	orden estadístico	Nom Adjectif
tipo nominal	2	7.46	tipos nominales	Nom Adjectif
tendencia ascendente	2	7.46	tendencia ascendente	Nom Adjectif
fuente de capital	2	7.46	fuentes de capital	Nom Préposition Nom
reglamentación laboral	2	7.46	reglamentaciones laborales	Nom Adjectif
tipo de descuento	2	7.46	tipo de descuento	Nom Préposition Nom
expectativa actual	2	7.46	expectativas actuales	Nom Adjectif
cálculo preciso	2	7.46	cálculos precisos	Nom Adjectif
variedad de bien	2	7.46	variedad de bienes	Nom Préposition Nom
computación	2	7.46	computación	Nom
crecimiento de población	2	7.46	crecimiento de población	Nom Préposition Nom
experimento de laboratorio	2	7.46	experimentos de laboratorio	Nom Préposition Nom
modelizar	2	7.46	modelizar	Verbe
consumo propio	2	7.46	consumo propio	Nom Adjectif
resultado del mercado	2	7.46	resultados del mercado	Nom Préposition Nom
desarrollo grande	2	7.46	desarrollo máximo	Nom Adjectif
trabajador vulnerable	2	7.46	trabajadores vulnerables	Nom Adjectif
explicación completo	2	7.46	explicación completa	Nom Adjectif
disponibilidad de mano	2	7.46	disponibilidad de mano	Nom Préposition Nom
carácter cíclico	2	7.46	carácter cíclico	Nom Adjectif
cantidad de equipo	2	7.46	cantidad de equipo	Nom Préposition Nom
hecho en mano	2	7.46	hecho en manos	Nom Préposition Nom
acumulativamente	2	7.46	acumulativamente	Adverbe
importación de textil	2	7.46	importaciones de textiles	Nom Préposition Nom
opinión anterior	2	7.46	opinión anterior	Nom Adjectif
cambio posterior	2	7.46	cambios posteriores	Nom Adjectif
función del nivel	2	7.46	función del nivel	Nom Préposition Nom
crecimiento del volumen	2	7.46	crecimiento del volumen	Nom Préposition Nom
medida del éxito	2	7.46	medida del éxito	Nom Préposition Nom
tipo de actividad agrícola	2	7.46	tipos de actividad agrícola	Nom Préposition Nom Adjectif
producción superior	2	7.46	producción superior	Nom Adjectif
forma de riqueza	2	7.46	forma de riqueza	Nom Préposition Nom
corregiría	2	7.46	corregiría	Verbe
silla musical	2	7.46	sillas musicales	Nom Adjectif
necesidad presente	2	7.46	necesidades presentes	Nom Adjectif
atenderemos	2	7.46	atenderemos	Verbe
tasa superior	2	7.46	tasa superior	Nom Adjectif
desgasta	2	7.46	desgasta	Verbe
reservaremos	2	7.46	reservaremos	Verbe
teoría monetario	2	7.46	teoría monetaria	Nom Adjectif
principio orientador	2	7.46	principio orientador	Nom Adjectif
naturaleza preciso	2	7.46	naturaleza precisa	Nom Adjectif
acosan	2	7.46	acosan	Verbe
inversión correspondiente	2	7.46	inversión correspondiente	Nom Adjectif
desdeñarse	2	7.46	desdeñarse	Verbe
decenio anterior	2	7.46	decenio anterior	Nom Adjectif
fervorosamente	2	7.46	fervorosamente	Adverbe
servicio de transporte marítimo	2	7.46	servicios de transporte marítimo	Nom Préposition Nom Adjectif
sentido mismo	2	7.46	sentido mismo	Nom Adjectif
economista norteamericano	2	7.46	economistas norteamericanos	Nom Adjectif
tradición científico	2	7.46	tradición científica	Nom Adjectif
verosímil	2	7.46	verosímil	Nom
filósofo político	2	7.46	filósofos políticos	Nom Adjectif
nutrían	2	7.46	nutrían	Verbe
tasa de crecimiento elevado	2	7.46	tasa de crecimiento elevada	Nom Préposition Nom Adjectif
presentimientos	2	7.46	presentimientos	Nom
principio formal	2	7.46	principios formales	Nom Adjectif
título diferente	2	7.46	títulos diferentes	Nom Adjectif
sector improductivo	2	7.46	sectores improductivos	Nom Adjectif
investigación histórico	2	7.46	investigación histórica	Nom Adjectif
volumen de fondo	2	7.46	volumen de fondos	Nom Préposition Nom
método de manipulación	2	7.46	método de manipulación	Nom Préposition Nom
inversionista extranjero	2	7.46	inversionistas extranjeros	Nom Adjectif
literatura reciente	2	7.46	literatura reciente	Nom Adjectif
desalienten	2	7.46	desalienten	Verbe
ahorro grande	2	7.46	ahorro mayor	Nom Adjectif
peligro social	2	7.46	peligros sociales	Nom Adjectif
contrarrestarlas	2	7.46	contrarrestarlas	Verbe
demanda grande	2	7.46	demanda mayor	Nom Adjectif
filosóficamente	2	7.46	filosóficamente	Adverbe
hedonista	2	7.46	hedonista	Adjectif
agriculture	2	7.46	agriculture	Nom
reacción posible	2	7.46	reacciones posibles	Nom Adjectif
cantidad diferente	2	7.46	cantidad diferente	Nom Adjectif
dividían	2	7.46	dividían	Verbe
indizar	2	7.46	indice	Verbe
ocupación adicional	2	7.46	ocupación adicional	Nom Adjectif
modificación violento	2	7.46	modificaciones violentas	Nom Adjectif
conjunto del año	2	7.46	conjunto del año	Nom Préposition Nom
cuenta corriente	2	7.46	cuenta corriente___cuentas corriente	Nom Nom
criterio de tipo	2	7.46	criterio de tipos	Nom Préposition Nom
récord histórico	2	7.46	récords históricos	Nom Adjectif
fórmula satisfactorio	2	7.46	fórmula satisfactoria	Nom Adjectif
clase diferente	2	7.46	clases diferentes	Nom Adjectif
comparación estadístico	2	7.46	comparaciones estadísticas	Nom Adjectif
plaza disponible	2	7.46	plazas disponibles	Nom Adjectif
nivel previo	2	7.46	nivel previo	Nom Adjectif
producción determinado	2	7.46	producción determinada	Nom Adjectif
reductora	2	7.46	reductora	Nom
carga de deuda|deudo	2	7.46	carga de deudas	Nom Préposition Nom
decaerá	2	7.46	decaerá	Verbe
objeto expreso	2	7.46	objeto expreso	Nom Adjectif
término nominal	2	7.46	términos nominales	Nom Adjectif
bien presente	2	7.46	bienes presentes	Nom Adjectif
supply	2	7.46	supply	Nom
efecto total	2	7.46	efecto total	Nom Adjectif
distinguirla	2	7.46	distinguirla	Verbe
sentimentalismo	2	7.46	sentimentalismo	Nom
través de cambio	2	7.46	través de cambios	Nom Préposition Nom
perceptiblemente	2	7.46	perceptiblemente	Adverbe
grupo de ingreso	2	7.46	grupos de ingresos	Nom Préposition Nom
párrafo siguiente	2	7.46	párrafo siguiente	Nom Adjectif
corrientemente	2	7.46	corrientemente	Adverbe
postración	2	7.46	postración	Nom
letargia	2	7.46	letargia	Nom
falta de concordancia	2	7.46	falta de concordancia	Nom Préposition Nom
fuerza negativo	2	7.46	fuerzas negativas	Nom Adjectif
convergente	2	7.46	convergente	Nom
abatirá	2	7.46	abatirá	Verbe
nivel constante	2	7.46	nivel constante	Nom Adjectif
ávida	2	7.46	ávida	Verbe
deduciría	2	7.46	deduciría	Verbe
política del estado	2	7.46	política del estado	Nom Préposition Nom
movimiento de precio	2	7.46	movimientos de precios	Nom Préposition Nom
combinarán	2	7.46	combinarán	Verbe
distribución internacional	2	7.46	distribución internacional	Nom Adjectif
causa de irritación	2	7.46	causas de irritación	Nom Préposition Nom
importancia del libro	2	7.46	importancia del libro	Nom Préposition Nom
arrozales	2	7.46	arrozales	Nom
irrevocables	2	7.46	irrevocables	Adjectif
deficiencia del método	2	7.46	deficiencias del método	Nom Préposition Nom
obstinada negativo	2	7.46	obstinada negativa	Nom Adjectif
momento previo	2	7.46	momento previo	Nom Adjectif
instrucción técnico	2	7.46	instrucción técnica	Nom Adjectif
situación de escasez	2	7.46	situación de escasez	Nom Préposition Nom
acuerdo tácito	2	7.46	acuerdo tácito	Nom Adjectif
cultivaba	2	7.46	cultivaba	Verbe
impulso constructivo	2	7.46	impulsos constructivos	Nom Adjectif
incitaron	2	7.46	incitaron	Verbe
dañoso	2	7.46	dañoso	Adjectif
producto del trabajo	2	7.46	producto del trabajo	Nom Préposition Nom
perspectiva de cambio	2	7.46	perspectivas de cambio	Nom Préposition Nom
enunciaba	2	7.46	enunciaba	Verbe
unidad homogéneo	2	7.46	unidad homogénea	Nom Adjectif
mejoramiento del acceso	2	7.46	mejoramiento del acceso	Nom Préposition Nom
fracasarían	2	7.46	fracasarían	Verbe
renta superior	2	7.46	renta superior	Nom Adjectif
carácter diferente	2	7.46	carácter diferente	Nom Adjectif
empleo en conjunto	2	7.46	empleo en conjunto	Nom Préposition Nom
utilización del capital	2	7.46	utilización del capital	Nom Préposition Nom
intervención decisivo	2	7.46	intervención decisiva	Nom Adjectif
asignación de responsabilidad	2	7.46	asignación de responsabilidad	Nom Préposition Nom
abogaría	2	7.46	abogaría	Verbe
valor existente	2	7.46	valores existentes	Nom Adjectif
flujo anual	2	7.46	flujos anuales	Nom Adjectif
derrota electoral	2	7.46	derrotas electorales	Nom Adjectif
recompensan	2	7.46	recompensan	Verbe
entusiasmo inicial	2	7.46	entusiasmo inicial	Nom Adjectif
marco de mercado	2	7.46	marco de mercados	Nom Préposition Nom
trabajador rural	2	7.46	trabajadores rurales	Nom Adjectif
empleo seguro	2	7.46	empleo seguro	Nom Adjectif
materia de análisis	2	7.46	materia de análisis	Nom Préposition Nom
resultado adverso	2	7.46	resultados adversos	Nom Adjectif
manejarla	2	7.46	manejarla	Verbe
democracy	2	7.46	democracy	Nom
acuerdo de comercio multilateral	2	7.46	acuerdos de comercio multilaterales	Nom Préposition Nom Adjectif
costo excesivo	2	7.46	costos excesivos	Nom Adjectif
sentido especial	2	7.46	sentido especial	Nom Adjectif
expectativa relativo	2	7.46	expectativas relativas	Nom Adjectif
política rígido	2	7.46	política rígida	Nom Adjectif
acuerdo de comercio internacional	2	7.46	acuerdos de comercio internacional	Nom Préposition Nom Adjectif
dificultad frente	2	7.46	dificultades frente	Nom Nom
invalidaba	2	7.46	invalidaba	Verbe
baja importante	2	7.46	baja importante	Nom Adjectif
oscurecen	2	7.46	oscurecen	Verbe
concepción habitual	2	7.46	concepciones habituales	Nom Adjectif
fuerza exterior	2	7.46	fuerzas exteriores	Nom Adjectif
universidad	30	7.45	universidad___universidades	Nom
hacienda	16	7.44	hacienda	Nom
cobro	12	7.44	cobro___cobros	Nom
formal	34	7.43	formal___formales	Adjectif
problema práctico	8	7.4	problema práctico___problemas prácticos	Nom Adjectif
leasing	3	7.37	leasing	Nom
expectativa de vida	4	7.35	expectativas de vida	Nom Préposition Nom
aumento del comercio	4	7.35	aumento del comercio	Nom Préposition Nom
condición existente	4	7.35	condiciones existentes	Nom Adjectif
ingreso público	4	7.35	ingresos públicos	Nom Adjectif
comercio internacional	18	7.34	comercio internacional	Nom Adjectif
idea fundamental	6	7.34	idea fundamental___ideas fundamentales	Nom Adjectif
anillo	6	7.34	anillo	Nom
iglesia católico	6	7.34	iglesia católica	Nom Adjectif
banca	8	7.29	banca	Nom
insuficiencia	14	7.29	insuficiencia	Nom
sostener	33	7.27	sostener___sostenerse___sostengan___sostuvo___sostuvieron	Verbe
propiedad	39	7.27	propiedad___propiedades	Nom
radical	36	7.26	radical___radicales	Adjectif
divisa	17	7.25	divisa___divisas	Nom
provisión	13	7.24	provisión___provisiones	Nom
debajo	29	7.24	debajo	Adverbe
exagerar	10	7.24	exagerar___exagera	Verbe
adverso	12	7.19	adverso___adversa___adversas	Adjectif
movimiento	52	7.19	movimiento___movimientos	Nom
clasificación	24	7.18	clasificación___clasificaciones	Nom
forma	322	7.17	forma___formas	Nom
socialización	4	7.16	socialización	Nom
supusieron	4	7.16	supusieron	Verbe
observaremos	4	7.16	observaremos	Verbe
análogamente	4	7.16	análogamente	Adverbe
trabajo necesario	4	7.16	trabajo necesario___trabajo necesarias	Nom Adjectif
plantearemos	4	7.16	plantearemos	Verbe
sobrepasar	18	7.15	sobrepasar___sobrepasa___sobrepasó	Verbe
capital	28	7.15	capital___capitales	Adjectif
maestro	10	7.14	maestros	Adjectif
lira	8	7.14	lira	Nom
publicación	26	7.13	publicación___publicaciones	Nom
alto	114	7.13	alto___alta___altas___altísimos	Adjectif
lento	13	7.13	lentamente	Adverbe
dedicar	50	7.13	dedicar___dedicará___dedicarse___dedicamos___dedicaremos	Verbe
futuro	105	7.12	futuro___futura___futuras	Adjectif
influir	36	7.09	influir___influye___influyen___influyeron	Verbe
credo	8	7.09	credo___credos	Nom
consciencia	6	7.08	consciencia	Nom
indefinido	9	7.08	indefinido___indefinida	Adjectif
inalterado	5	7.07	inalterado___inalteradas	Adjectif
espectacular	13	7.06	espectacular___espectaculares	Adjectif
atribuir	24	7.04	atribuir___atribuye___atribuyen	Verbe
correlación	8	7.04	correlación	Nom
crecimiento del producto	3	7.03	crecimiento del producto	Nom Préposition Nom
marco finlandés	3	7.03	marco finlandés	Nom Adjectif
moneda extranjero	3	7.03	moneda extranjera	Nom Adjectif
sesión de negociación	3	7.03	sesión de negociación	Nom Préposition Nom
medir	23	6.99	medir___mide	Verbe
intuición	4	6.98	intuición	Nom
escisión	4	6.98	escisión	Nom
grupo vulnerable	4	6.98	grupos vulnerables	Nom Adjectif
anormalmente	4	6.98	anormalmente	Adverbe
conjunto de país	4	6.98	conjunto de países	Nom Préposition Nom
cantidad de producto	4	6.98	cantidad de producto	Nom Préposition Nom
hallar	41	6.97	hallar___halla___hallaba___hallaremos	Verbe
directo	78	6.96	directo___directos___directas	Adjectif
expectativas	8	6.95	expectativas	Adjectif
emplear	44	6.94	emplear___empleará___emplee___empleamos	Verbe
desaceleración	7	6.93	desaceleración	Nom
nivel inferior	6	6.92	nivel inferior	Nom Adjectif
porcentaje	37	6.92	porcentaje___porcentajes	Nom
pobre	68	6.91	pobre___pobres	Adjectif
prácticamente	43	6.9	prácticamente	Adverbe
argumentar	12	6.87	argumentar___argumentan	Verbe
llamativo	8	6.85	llamativo___llamativa	Adjectif
recoger	50	6.84	recoger___recogen___recoja	Verbe
industrialización	6	6.84	industrialización	Nom
forma análogo	4	6.81	forma análoga	Nom Adjectif
descriptivo	4	6.81	descriptivo___descriptivos	Adjectif
perspectiva de empleo	4	6.81	perspectivas de empleo	Nom Préposition Nom
cegar	4	6.81	ciega___ciego	Verbe
contrincante	4	6.81	contrincante___contrincantes	Nom
fondo de reserva	4	6.81	fondos de reserva	Nom Préposition Nom
reintegro	4	6.81	reintegros	Nom
definición preciso	4	6.81	definición precisa	Nom Adjectif
idea	135	6.8	idea___ideas	Nom
filosófico	10	6.78	filosófico___filosófica___filosóficas	Adjectif
hipotecario	6	6.77	hipotecario___hipotecarios	Adjectif
interacción	12	6.77	interacción___interacciones	Nom
tesis	14	6.76	tesis	Nom
anticipar	15	6.75	anticipar___anticipan___anticiparon	Verbe
largo	147	6.74	largo___largos___largas	Adjectif
número	136	6.73	número___números	Nom
viejo	26	6.72	viejo___viejos___viejas	Adjectif
sentido amplio	8	6.72	sentido amplio	Nom Adjectif
estudiaremos	8	6.72	estudiaremos	Verbe
poder	1323	6.69	poder___podrá___podrán___puedo___podríamos___pudiéramos	Verbe
enteramente	16	6.67	enteramente	Adverbe
ascenso	9	6.67	ascenso	Nom
disparidad existente	4	6.66	disparidad existente___disparidades existentes	Nom Adjectif
alteración	10	6.66	alteración___alteraciones	Nom
giro	12	6.66	giro	Nom
número de producto	4	6.66	número de productos	Nom Préposition Nom
salvedades	4	6.66	salvedades	Nom
economía moderno	4	6.66	economía moderna___economías modernas	Nom Adjectif
colapso	10	6.66	colapso	Nom
hábito	14	6.65	hábito___hábitos	Nom
fin del siglo	2	6.63	fines del siglo	Nom Préposition Nom
forma único	2	6.63	forma única	Nom Adjectif
elemento secundario	2	6.63	elemento secundario	Nom Adjectif
robustez	2	6.63	robustez	Nom
cantidad de idea	2	6.63	cantidad de ideas	Nom Préposition Nom
político español	2	6.63	políticos españoles	Nom Adjectif
resto	55	6.63	resto___restos	Nom
suministraban	2	6.63	suministraban	Verbe
tipo de exposición	2	6.63	tipo de exposición	Nom Préposition Nom
base de programa	2	6.63	base de programas	Nom Préposition Nom
escribamos	2	6.63	escribamos	Verbe
motivará	2	6.63	motivará	Verbe
cimienta	2	6.63	cimienta	Verbe
intrincados	2	6.63	intrincados	Adjectif
verazmente	2	6.63	verazmente	Adverbe
valor del mercado	2	6.63	valor del mercado	Nom Préposition Nom
prociclicidad	2	6.63	prociclicidad	Nom
añadirles	2	6.63	añadirles	Verbe
sector de exportación	2	6.63	sector de exportaciones	Nom Préposition Nom
forma brusco	2	6.63	forma brusca	Nom Adjectif
sambenito	2	6.63	sambenito	Nom
bien de inversión	2	6.63	bienes de inversión	Nom Préposition Nom
frase del párrafo	2	6.63	frase del párrafo	Nom Préposition Nom
trabajador francés	2	6.63	trabajadores franceses	Nom Adjectif
sociedad rico	2	6.63	sociedad rica	Nom Adjectif
sistema presente	2	6.63	sistema presente	Nom Adjectif
recurso eficaz	2	6.63	recursos eficaces	Nom Adjectif
escribiremos	2	6.63	escribiremos	Verbe
prosperarán	2	6.63	prosperarán	Verbe
exportador de petróleo	2	6.63	exportadores de petróleo	Nom Préposition Nom
empleo disponible	2	6.63	empleo disponibles	Nom Adjectif
némesis	2	6.63	némesis	Nom
descompensación	2	6.63	descompensación	Nom
cuarto de punto	2	6.63	cuarto de punto	Nom Préposition Nom
principiantes	2	6.63	principiantes	Nom
dificultad propio	2	6.63	dificultades propias	Nom Adjectif
criterio de valor	2	6.63	criterio de valor	Nom Préposition Nom
mano de obra agrícola	2	6.63	mano de obra agrícola	Nom Préposition Nom Adjectif
carácter real	2	6.63	carácter real	Nom Adjectif
sociedad dinámico	2	6.63	sociedad dinámica	Nom Adjectif
soportarla	2	6.63	soportarla	Verbe
socializar	2	6.63	socializar	Verbe
precio de consumo	2	6.63	precios de consumo	Nom Préposition Nom
obstáculo grave	2	6.63	obstáculo grave	Nom Adjectif
autoridad espiritual	2	6.63	autoridad espiritual	Nom Adjectif
tendencia ideológico	2	6.63	tendencia ideológica	Nom Adjectif
sistema clásico	2	6.63	sistema clásico	Nom Adjectif
trabajo de equipo	2	6.63	trabajo de equipo	Nom Préposition Nom
reducción medio	2	6.63	reducción media	Nom Adjectif
razón fiscal	2	6.63	razones fiscales	Nom Adjectif
proteccionismo comercial	2	6.63	proteccionismo comercial	Nom Adjectif
redefinirse	2	6.63	redefinirse	Verbe
rebasaba	2	6.63	rebasaba	Verbe
supuesto básico	2	6.63	supuesto básico	Nom Adjectif
trabajo de acuerdo	2	6.63	trabajo de acuerdo	Nom Préposition Nom
asteriscos	2	6.63	asteriscos	Nom
miseria económico	2	6.63	miseria económica	Nom Adjectif
suspiro de alivio	2	6.63	suspiro de alivio	Nom Préposition Nom
función del estado	2	6.63	función del estado	Nom Préposition Nom
ensanchamiento	2	6.63	ensanchamiento	Nom
gasto ordinario	2	6.63	gastos ordinarios	Nom Adjectif
consienta	2	6.63	consienta	Verbe
riqueza mundial	2	6.63	riqueza mundial	Nom Adjectif
estado totalitarios	2	6.63	estados totalitarios	Nom Adjectif
frontera del conocimiento	2	6.63	fronteras del conocimiento	Nom Préposition Nom
influyera	2	6.63	influyera	Verbe
inmadurez	2	6.63	inmadurez	Nom
invadieran	2	6.63	invadieran	Verbe
oncocercosis	2	6.63	oncocercosis	Nom
interés activo	2	6.63	interés activo	Nom Adjectif
acto individual	2	6.63	acto individual	Nom Adjectif
parlamento inglés	2	6.63	parlamento inglés	Nom Adjectif
proporción correspondiente	2	6.63	proporción correspondiente	Nom Adjectif
beneficio total	2	6.63	beneficios totales	Nom Adjectif
junto	2	6.63	junto	Nom
parte del siglo	2	6.63	partes del siglo	Nom Préposition Nom
guerra napoleónicas	2	6.63	guerras napoleónicas	Nom Adjectif
existencia actual	2	6.63	existencias actuales	Nom Adjectif
artículo reciente	2	6.63	artículo reciente	Nom Adjectif
intocables	2	6.63	intocables	Nom
apelaban	2	6.63	apelaban	Verbe
quietud	2	6.63	quietud	Nom
efecto positivo y negativo	2	6.63	efectos positivos y negativos	Nom Adjectif Coord_Conjunction Adjectif
preven	2	6.63	preven	Verbe
producirlo	2	6.63	producirlo	Verbe
proceso de contratación	2	6.63	procesos de contratación	Nom Préposition Nom
forma simbólico	2	6.63	forma simbólica	Nom Adjectif
velocidad de circulación	2	6.63	velocidad de circulación	Nom Préposition Nom
crédito en condición	2	6.63	crédito en condiciones	Nom Préposition Nom
modelo original	2	6.63	modelo original	Nom Adjectif
ejemplo real	2	6.63	ejemplo real	Nom Adjectif
precio del grano	2	6.63	precio del grano	Nom Préposition Nom
plano individual	2	6.63	plano individual	Nom Adjectif
transporte terrestre y marítimo	2	6.63	transporte terrestre y marítimo	Nom Adjectif Coord_Conjunction Adjectif
aumento de ingreso	2	6.63	aumento de ingresos	Nom Préposition Nom
inclinación natural	2	6.63	inclinación natural	Nom Adjectif
posición de estado	2	6.63	posición de estado	Nom Préposition Nom
mitigan	2	6.63	mitigan	Verbe
impedirlas	2	6.63	impedirlas	Verbe
posición central	2	6.63	posición central	Nom Nom
economía pobre	2	6.63	economías pobres	Nom Adjectif
diferencia de riqueza	2	6.63	diferencias de riqueza	Nom Préposition Nom
obra del hombre	2	6.63	obras del hombre	Nom Préposition Nom
tendiera	2	6.63	tendiera	Verbe
publicarlos	2	6.63	publicarlos	Verbe
época posterior	2	6.63	épocas posteriores	Nom Adjectif
inveterada	2	6.63	inveterada	Adjectif
oportunidad de educación	2	6.63	oportunidades de educación	Nom Préposition Nom
ligan	2	6.63	ligan	Verbe
red propio	2	6.63	red propia	Nom Adjectif
proclamaba	2	6.63	proclamaba	Verbe
relación particular	2	6.63	relación particular	Nom Adjectif
clase de riesgo	2	6.63	clase de riesgos	Nom Préposition Nom
efecto opuesto	2	6.63	efecto opuesto	Nom Adjectif
relacionarla	2	6.63	relacionarla	Verbe
verdad científico	2	6.63	verdad científica	Nom Adjectif
acompañaría	2	6.63	acompañaría	Verbe
principio teórico	2	6.63	principio teórico	Nom Adjectif
periodo posterior	2	6.63	periodo posterior	Nom Adjectif
naturaleza positivo	2	6.63	naturaleza positiva	Nom Adjectif
escribían	2	6.63	escribían	Verbe
hiato	2	6.63	hiato	Nom
duración indefinido	2	6.63	duración indefinida	Nom Adjectif
volumen suficiente	2	6.63	volumen suficiente	Nom Adjectif
función del riesgo	2	6.63	función del riesgo	Nom Préposition Nom
prueba práctico	2	6.63	prueba práctica	Nom Adjectif
factor ambiental	2	6.63	factores ambientales	Nom Adjectif
denigrantes	2	6.63	denigrantes	Adjectif
situación alemán	2	6.63	situación alemana	Nom Nom
método convencional	2	6.63	método convencional	Nom Adjectif
sistema satisfactorio	2	6.63	sistema satisfactorio	Nom Adjectif
anglo-francés	2	6.63	anglo-francés	Adjectif
sobrantes	2	6.63	sobrantes	Verbe
rebajarlos	2	6.63	rebajarlos	Verbe
atesorar	2	6.63	atesorar	Verbe
conjunto de parámetro	2	6.63	conjunto de parámetros	Nom Préposition Nom
agudamente	2	6.63	agudamente	Adverbe
tasa de crecimiento superior	2	6.63	tasa de crecimiento superior	Nom Préposition Nom Adjectif
caso límite	2	6.63	caso límite	Nom Nom
separaban	2	6.63	separaban	Verbe
basarían	2	6.63	basarían	Verbe
división nacional	2	6.63	divisiones nacionales	Nom Adjectif
preferencia adicional	2	6.63	preferencia adicional	Nom Adjectif
usual	10	6.63	usual___usuales	Adjectif
uso del concepto	2	6.63	uso del concepto	Nom Préposition Nom
comunidad pobre	2	6.63	comunidad pobre	Nom Adjectif
incendiarios	2	6.63	incendiarios	Adjectif
proporción pequeño	2	6.63	proporción menor	Nom Adjectif
espacio disponible	2	6.63	espacio disponible	Nom Adjectif
elemento de unión	2	6.63	elemento de unión	Nom Préposition Nom
negocio privado	2	6.63	negocios privados	Nom Adjectif
mercado nacional y regional	2	6.63	mercados nacionales y regionales	Nom Adjectif Coord_Conjunction Adjectif
caso del trabajo	2	6.63	caso del trabajo	Nom Préposition Nom
importancia inmediato	2	6.63	importancia inmediata	Nom Adjectif
formación de precio	2	6.63	formación de precios	Nom Préposition Nom
compañía francés	2	6.63	compañía francesa	Nom Adjectif
márqueting	2	6.63	márqueting	Nom
halagüeña	2	6.63	halagüeña	Verbe
volumen grande	2	6.63	volumen máximo	Nom Adjectif
aumento del ritmo	2	6.63	aumento del ritmo	Nom Préposition Nom
circunstancia del mercado	2	6.63	circunstancias del mercado	Nom Préposition Nom
